,MEMBER_NO,L,R,F,M,C,K,runoff_flag
18858,19137,2701,110,2,2566,0.943257989,1.0,0
18859,19138,2636,19,21,31662,0.59151854,1.0,0
18860,19139,2679,62,3,6561,0.7660768179999999,1.0,0
18861,19140,2668,30,16,27944,0.7161090040000001,0.0,0
18862,19141,2676,327,17,34242,0.730245021,0.0,1
18863,19142,2685,143,8,13277,0.7304760109999999,0.0,0
18864,19143,2683,12,3,5116,0.533713839,1.0,1
18865,19144,2685,22,22,43618,0.8212852490000001,1.0,0
18866,19145,2639,251,6,6602,0.717746138,1.0,1
18867,19146,2663,221,6,8788,0.554796313,1.0,0
18868,19147,2678,11,6,4815,0.839156802,0.0,0
18869,19148,2681,75,6,11021,0.6257835039999999,1.0,0
18870,19149,2678,145,8,11344,0.8122928420000001,0.0,0
18871,19150,2661,180,12,13933,0.854145554,1.0,1
18872,19151,2660,74,6,5300,0.654245283,0.0,0
18873,19152,2658,132,10,13688,0.725839421,0.0,0
18874,19153,2669,36,6,8949,0.607177338,1.0,0
18875,19154,2670,3,5,6852,0.376894337,1.0,0
18876,19155,2659,13,22,30366,0.691335046,1.0,0
18877,19156,2688,110,22,39108,0.70785517,1.0,1
18878,19157,2657,264,6,6607,0.83767822,0.0,0
18879,19158,2849,2,32,40036,0.834559397,1.0,0
18880,19159,2695,49,15,24131,0.8605424559999999,0.0,0
18881,19160,2667,1,3,3833,0.390263501,1.0,0
18882,19161,2733,67,5,9055,0.48759249,1.0,0
18883,19162,2654,75,14,20030,0.8667309040000001,0.0,0
18884,19163,2634,115,13,22906,0.732789226,1.0,1
18885,19164,2645,29,4,30282,0.529350439,1.0,0
18886,19165,2614,27,5,11340,1.0031781309999999,1.0,0
18887,19166,2659,76,40,37770,0.8136698440000001,0.0,0
18888,19167,2637,64,36,64434,0.817238259,1.0,0
18889,19168,2640,6,78,105745,0.767752423,1.0,0
18890,19169,2638,70,2,1787,0.7208449920000001,1.0,0
18891,19170,2612,80,6,7623,0.582624951,0.0,0
18892,19171,2732,33,6,7596,0.9572603999999999,0.0,0
18893,19172,2646,3,9,14398,0.902103764,1.0,0
18894,19173,2634,183,4,5727,1.4692771080000002,1.0,1
18895,19174,2638,103,9,9357,0.625633216,0.0,0
18896,19175,2643,61,17,30055,0.6942764929999999,1.0,0
18897,19176,2647,311,6,7645,0.630804447,0.0,1
18898,19177,2636,21,38,52663,0.7227833579999999,1.0,0
18899,19178,2626,359,25,29777,0.88996541,0.0,1
18900,19179,2633,3,74,126760,0.690051909,1.0,0
18901,19180,2641,217,6,5530,0.638871609,0.0,0
18902,19181,2659,135,5,5000,1.132996,1.0,0
18903,19182,2653,70,6,9820,0.734363544,0.0,0
18904,19183,2612,318,8,9958,0.787326772,0.0,1
18905,19184,2653,400,12,14747,0.472072286,0.0,1
18906,19185,2619,453,3,2113,0.837813535,0.0,1
18907,19186,2654,418,6,11736,0.814059305,0.0,1
18908,19187,2612,314,3,4345,0.277364787,1.0,1
18909,19188,2615,13,21,32342,0.671183291,1.0,0
18910,19189,2647,103,13,17359,0.624852238,1.0,0
18911,19190,2617,5,22,23477,0.702176598,1.0,0
18912,19191,2626,279,3,5794,0.598101484,0.0,1
18913,19192,2613,10,10,14496,1.369922047,1.0,0
18914,19193,2605,21,26,31948,0.78802022,1.0,0
18915,19194,2616,15,26,21372,0.6864827809999999,1.0,0
18916,19195,2658,17,42,39068,0.7465629159999999,1.0,0
18917,19196,2645,127,9,9556,0.855138133,1.0,1
18918,19197,2648,321,3,2383,0.556294587,1.0,1
18919,19198,2602,7,55,73099,0.633246966,1.0,0
18920,19199,2599,10,77,94463,0.638324741,1.0,0
18921,19200,2599,7,2,3752,1.04641791,1.0,1
18922,19201,2637,109,3,5391,0.8206176959999999,0.0,0
18923,19202,2596,171,6,4744,0.589692243,0.0,0
18924,19203,2618,50,16,23538,0.47078766299999997,1.0,0
18925,19204,2616,17,24,31651,1.382805599,1.0,0
18926,19205,2631,4,9,14599,0.661091856,1.0,0
18927,19206,2595,565,13,8097,0.704853649,0.0,1
18928,19207,2603,6,8,81088,0.825,1.0,0
18929,19208,2594,222,6,7677,1.27862837,0.0,1
18930,19209,2585,18,10,9208,0.77013901,1.0,0
18931,19210,2616,421,5,9910,0.722270434,0.0,1
18932,19211,2597,38,8,9272,0.9387543140000001,1.0,0
18933,19212,2708,177,4,8872,0.72,0.0,0
18934,19213,2598,98,3,5901,0.706666667,1.0,1
18935,19214,2616,21,24,28589,0.504030921,1.0,0
18936,19215,2703,136,13,16839,0.740403824,0.0,0
18937,19216,2594,12,29,34394,0.739861604,1.0,0
18938,19217,2594,20,8,7946,0.61581928,1.0,0
18939,19218,2594,1,15,15188,0.579687253,1.0,0
18940,19219,2616,1,66,26898,0.853386869,1.0,0
18941,19220,2595,29,2,1688,0.46831753600000003,1.0,1
18942,19221,2611,5,4,7868,1.305,1.0,0
18943,19222,2588,29,4,3485,0.6758020090000001,1.0,0
18944,19223,2604,80,23,15816,0.8470118870000001,1.0,0
18945,19224,2611,73,17,25491,0.675649837,1.0,0
18946,19225,2580,256,16,20619,0.705701052,0.0,1
18947,19226,2589,125,13,23701,0.738416101,1.0,0
18948,19227,2595,102,8,9164,0.871540812,1.0,0
18949,19228,2590,43,24,22478,0.65007385,1.0,0
18950,19229,2591,81,23,35743,0.611774054,1.0,0
18951,19230,2595,231,6,7775,0.7613607720000001,0.0,0
18952,19231,2609,32,7,8573,0.621881488,0.0,0
18953,19232,2596,77,13,22249,1.1360838690000001,1.0,0
18954,19233,2586,13,34,34110,0.7112817359999999,1.0,0
18955,19234,2602,89,2,4154,0.38,1.0,1
18956,19235,2581,697,2,5586,0.55,0.0,1
18957,19236,2595,16,12,29166,0.698982034,1.0,0
18958,19237,2599,7,46,47731,0.898500555,1.0,0
18959,19238,2590,165,4,6187,0.9390754809999999,1.0,0
18960,19239,2581,112,14,34820,0.757280299,1.0,1
18961,19240,2592,19,18,15607,0.67441853,1.0,0
18962,19241,2588,68,12,18542,0.502360047,1.0,0
18963,19242,2595,34,9,10594,0.7241079859999999,1.0,0
18964,19243,2591,129,3,7018,0.47545169600000003,0.0,0
18965,19244,2613,97,8,6385,1.103000783,1.0,0
18966,19245,2593,26,22,35992,0.83248583,1.0,0
18967,19246,2583,287,15,28846,0.718425085,0.0,1
18968,19247,2593,232,4,5668,0.824333098,1.0,1
18969,19248,2588,536,5,5087,0.751425201,0.0,1
18970,19249,2588,13,26,103395,0.8757814209999999,1.0,0
18971,19250,2594,153,7,8418,0.559679259,1.0,0
18972,19251,2584,497,3,2179,0.9281780629999999,0.0,1
18973,19252,2588,232,6,1104,0.803333333,0.0,1
18974,19253,2600,19,3,6126,0.964608227,0.0,0
18975,19254,2575,604,6,14454,1.0,0.0,1
18976,19255,2584,178,3,2042,0.747477963,1.0,0
18977,19256,2612,14,22,29227,0.643016389,1.0,0
18978,19257,2588,12,19,25407,0.5935588620000001,0.0,0
18979,19258,2634,137,6,8876,0.7844456959999999,0.0,0
18980,19259,2585,5,34,53361,0.765805926,0.0,0
18981,19260,2583,11,11,9325,0.467785523,1.0,0
18982,19261,2588,534,5,6909,0.709089593,0.0,1
18983,19262,2572,93,2,3521,0.419537063,1.0,1
18984,19263,2584,3,16,47254,1.106824396,1.0,0
18985,19264,2580,192,11,16488,0.6733236290000001,1.0,1
18986,19265,2573,3,89,97760,0.728606997,1.0,0
18987,19266,2585,103,2,1571,0.69050923,1.0,0
18988,19267,2571,180,10,21680,0.70550738,1.0,1
18989,19268,2576,13,6,35829,1.2632124820000001,0.0,0
18990,19269,2571,5,17,26057,1.387606401,1.0,0
18991,19270,2581,251,2,2684,0.77,1.0,1
18992,19271,2572,32,47,45148,0.761058076,1.0,0
18993,19272,2568,146,19,60804,0.8309826659999999,1.0,1
18994,19273,2575,141,4,8365,0.5905558879999999,1.0,0
18995,19274,2576,32,10,64800,0.7175753090000001,1.0,0
18996,19275,2585,121,5,4037,0.72380976,1.0,0
18997,19276,2567,77,8,15474,0.6893285509999999,1.0,1
18998,19277,2560,263,2,4154,0.61,1.0,0
18999,19278,2560,351,4,8917,0.512218235,1.0,1
19000,19279,2561,166,4,5314,0.7175197590000001,1.0,0
19001,19280,2564,230,6,9885,0.61301568,1.0,1
19002,19281,2573,340,2,3248,1.5,1.0,1
19003,19282,2563,4,6,5011,0.7525244459999999,0.0,0
19004,19283,2569,364,10,9490,0.7704899890000001,0.0,1
19005,19284,2576,66,2,1158,0.885,1.0,1
19006,19285,2577,115,2,2046,0.446793744,1.0,0
19007,19286,2563,316,2,4268,0.55,1.0,1
19008,19287,2585,64,8,44346,0.6908099940000001,1.0,0
19009,19288,2983,20,19,17672,0.900771842,1.0,0
19010,19289,2551,16,14,13307,0.680851432,1.0,0
19011,19290,2568,9,18,17178,0.813605775,1.0,0
19012,19291,2562,341,2,2656,0.506400602,1.0,1
19013,19292,2554,244,5,10290,0.515780369,1.0,1
19014,19293,2556,74,10,8136,0.786912488,1.0,0
19015,19294,2564,18,4,3287,0.9122360820000001,1.0,0
19016,19295,2541,103,23,39608,0.727993587,1.0,0
19017,19296,2570,273,13,17962,0.623850351,0.0,1
19018,19297,2560,47,5,10590,0.4638017,1.0,0
19019,19298,2553,215,10,8164,0.6567160710000001,0.0,1
19020,19299,2555,262,3,3138,0.846666667,1.0,0
19021,19300,2569,26,26,28633,0.653165578,1.0,0
19022,19301,2554,7,11,12606,0.422694749,1.0,0
19023,19302,2541,159,9,19112,0.7075497070000001,0.0,1
19024,19303,2547,22,4,6449,0.435717165,1.0,0
19025,19304,2567,113,26,28463,0.790433545,1.0,1
19026,19305,2573,6,41,65127,0.619403473,1.0,0
19027,19306,2533,5,98,141053,0.728867305,1.0,0
19028,19307,2582,16,21,38717,0.572406436,1.0,0
19029,19308,2542,21,22,37675,0.712692502,1.0,0
19030,19309,2541,28,5,10290,0.67511759,1.0,0
19031,19310,2534,30,18,31294,0.6881341470000001,1.0,0
19032,19311,2557,5,99,78698,0.623999085,1.0,0
19033,19312,2532,77,12,14727,0.74015346,1.0,0
19034,19313,2532,575,3,16182,0.91827957,0.0,1
19035,19314,2559,93,8,8571,0.527218528,0.0,0
19036,19315,2530,50,2,3707,0.700356083,1.0,1
19037,19316,2527,165,2,2347,0.804559012,1.0,0
19038,19317,2531,127,6,10637,0.682753596,1.0,0
19039,19318,2532,69,6,7939,0.7730620990000001,1.0,0
19040,19319,2535,15,44,39146,0.79776299,1.0,0
19041,19320,2513,6,46,64070,0.860966287,1.0,0
19042,19321,2528,212,8,11896,0.904787323,1.0,1
19043,19322,2507,9,68,61090,0.765644295,1.0,0
19044,19323,2543,317,4,16215,0.410465618,0.0,1
19045,19324,2548,130,13,13317,0.773943831,1.0,1
19046,19325,2551,117,8,14118,0.55413798,1.0,0
19047,19326,2546,151,10,15894,0.902253051,1.0,1
19048,19327,2573,172,2,1577,0.955003171,1.0,0
19049,19328,2511,194,9,13927,0.717764055,0.0,0
19050,19329,2509,499,2,15199,0.7,0.0,1
19051,19330,2569,73,26,33356,0.6003411679999999,1.0,0
19052,19331,2535,25,6,5472,0.9523355259999999,1.0,0
19053,19332,2518,255,12,17407,1.300923192,1.0,1
19054,19333,2574,165,8,7650,0.907830065,1.0,0
19055,19334,2515,163,4,5934,1.30309572,1.0,0
19056,19335,2510,12,36,79482,0.615612843,1.0,0
19057,19336,2514,62,20,25161,0.8375267279999999,1.0,0
19058,19337,2512,227,9,9331,0.79507234,0.0,1
19059,19338,2511,76,9,13772,0.554588295,0.0,0
19060,19339,2543,121,22,34061,0.738266933,1.0,0
19061,19340,2517,238,6,10196,0.729800902,0.0,0
19062,19341,2511,60,10,18174,0.858644217,1.0,0
19063,19342,2513,354,18,23610,0.7916899620000001,0.0,1
19064,19343,2500,317,2,1154,0.795320624,1.0,1
19065,19344,2520,133,2,5684,0.825,1.0,1
19066,19345,2529,8,28,83627,0.636567257,1.0,0
19067,19346,2514,121,9,13319,0.974454539,1.0,0
19068,19347,2557,22,36,54963,0.7481960590000001,1.0,0
19069,19348,2503,377,7,9911,0.6985420240000001,0.0,1
19070,19349,2505,36,50,73964,0.839648207,1.0,0
19071,19350,2500,61,5,3245,0.9159999999999999,1.0,0
19072,19351,2513,618,4,4235,0.85824085,0.0,1
19073,19352,2498,2,49,64106,0.725679812,1.0,0
19074,19353,2497,110,17,23083,0.6612364079999999,1.0,1
19075,19354,2490,131,6,8086,0.8072372,1.0,0
19076,19355,2502,1,27,39846,0.877393465,1.0,0
19077,19356,2511,22,2,1866,0.585,1.0,0
19078,19357,2502,22,36,68154,0.77778575,1.0,0
19079,19359,2493,117,10,17429,0.386539101,1.0,0
19080,19360,2487,262,7,8486,0.632029225,1.0,1
19081,19361,2501,9,23,27316,0.650318129,1.0,0
19082,19362,2496,7,15,24232,0.577201222,1.0,0
19083,19363,2497,452,3,3614,0.66615938,0.0,1
19084,19364,2486,139,8,13560,0.5925,1.0,1
19085,19365,2489,191,3,1710,0.872625731,1.0,0
19086,19366,2497,386,9,1656,0.7777777779999999,0.0,1
19087,19367,2482,634,2,2900,1.0,0.0,1
19088,19368,2487,237,3,3260,0.49011042899999996,0.0,1
19089,19369,2495,12,17,23404,0.675579388,1.0,0
19090,19370,2508,187,11,11067,0.740053312,0.0,1
19091,19371,2497,14,21,159605,0.9251142509999999,1.0,0
19092,19372,2488,65,3,4494,0.801332888,1.0,0
19093,19373,2490,81,2,5117,0.632478014,1.0,0
19094,19374,2487,10,19,29744,0.565112292,1.0,0
19095,19375,2487,77,18,31955,0.536429354,1.0,0
19096,19376,2487,35,5,3739,0.7802647770000001,1.0,0
19097,19377,2477,44,11,11165,0.5827272729999999,1.0,0
19098,19378,2485,390,5,6347,0.6040491570000001,0.0,1
19099,19379,2485,18,93,106705,0.894763601,1.0,0
19100,19380,2496,193,24,29857,0.794385571,1.0,1
19101,19381,2483,38,17,20901,0.558999569,1.0,0
19102,19382,2477,244,4,5334,0.661001125,1.0,1
19103,19383,2464,96,29,41171,0.789908431,1.0,0
19104,19384,2485,38,8,10231,0.744426742,1.0,0
19105,19385,2480,315,7,14556,0.7592367409999999,0.0,1
19106,19386,2488,12,47,55930,1.275212587,1.0,0
19107,19387,2491,53,22,17815,0.529732809,1.0,0
19108,19388,2468,66,10,14108,0.653154948,1.0,0
19109,19389,2468,125,20,27879,0.597487356,0.0,0
19110,19390,2477,550,10,13262,0.859184135,0.0,1
19111,19391,2457,514,5,5970,0.943115578,0.0,1
19112,19392,2469,197,8,15092,0.6509283060000001,1.0,1
19113,19393,2464,129,11,18139,0.531161034,0.0,0
19114,19394,2455,10,18,24981,0.8737988870000001,1.0,0
19115,19395,2462,277,3,5324,0.895567243,0.0,1
19116,19396,2472,153,15,77784,0.68137689,0.0,1
19117,19397,2442,32,28,30089,0.9001193129999999,1.0,0
19118,19398,2432,90,10,15949,0.601230171,1.0,0
19119,19399,2545,614,5,5581,0.650842143,0.0,1
19120,19400,2418,263,5,6398,0.5525242260000001,1.0,1
19121,19401,2453,167,3,4287,0.537809657,0.0,0
19122,19402,2423,321,3,5418,0.826208933,0.0,1
19123,19403,2408,28,33,56538,0.662488238,1.0,0
19124,19404,2401,69,8,14081,0.65337263,1.0,0
19125,19405,2416,518,5,6335,0.5357774270000001,0.0,1
19126,19406,2440,526,3,5038,0.348163954,0.0,1
19127,19407,2392,191,7,12632,1.022486542,0.0,1
19128,19408,2409,19,8,10630,0.7753697079999999,1.0,0
19129,19409,2389,288,9,20113,0.76764431,0.0,1
19130,19410,2427,12,9,12472,0.788193554,1.0,0
19131,19411,2364,139,16,29093,0.607207232,1.0,0
19132,19412,2475,63,23,33959,0.663626432,1.0,0
19133,19413,2352,65,9,13519,0.8370522970000001,1.0,0
19134,19414,2356,3,7,18032,0.764285714,1.0,0
19135,19415,2353,11,15,12917,0.660884106,1.0,0
19136,19416,2317,18,14,15620,0.746708707,1.0,0
19137,19417,2343,191,5,9740,0.408824435,0.0,0
19138,19418,2330,4,3,5656,1.43740099,1.0,0
19139,19419,2339,133,2,3736,0.67,1.0,1
19140,19420,2326,13,61,143186,1.183962818,1.0,0
19141,19421,2264,520,4,2664,0.7625,0.0,1
19142,19422,2262,377,16,21833,0.7348600740000001,0.0,1
19143,19423,2395,8,38,56192,0.617050826,1.0,0
19144,19424,2252,129,4,14914,0.87488132,1.0,0
19145,19425,2231,12,25,22516,0.773989163,1.0,0
19146,19426,2229,251,10,41940,0.64434907,1.0,1
19147,19427,2227,60,3,6966,0.823333333,0.0,0
19148,19428,2323,339,2,4986,0.625,1.0,1
19149,19429,2227,69,5,4641,0.5756302520000001,1.0,0
19150,19430,2221,56,8,9991,0.698450606,1.0,0
19151,19431,2265,67,4,2648,0.4075,1.0,0
19152,19432,2225,203,2,3333,0.761323132,1.0,1
19153,19433,2246,57,12,10769,0.640295292,1.0,0
19154,19434,2236,351,2,3071,0.55,1.0,1
19155,19435,2235,53,5,5524,0.6594895000000001,1.0,0
19156,19436,2203,309,6,6707,0.484083793,0.0,1
19157,19437,2237,49,11,18161,0.68737129,1.0,0
19158,19438,2194,212,2,1380,0.91,1.0,1
19159,19439,2192,7,85,97855,1.423453171,1.0,0
19160,19440,2192,27,8,17244,0.701565762,1.0,0
19161,19441,2188,121,26,38612,0.6580552679999999,0.0,0
19162,19442,2180,557,4,4011,0.951608078,0.0,1
19163,19443,2177,139,2,3451,0.6943523620000001,1.0,1
19164,19444,2171,59,2,1933,0.819643042,1.0,1
19165,19445,2170,339,12,16016,0.639017233,0.0,1
19166,19446,2167,166,14,20516,0.949966855,0.0,1
19167,19447,2105,2,23,31200,0.768522756,1.0,0
19168,19448,2100,116,32,48709,0.665243589,1.0,1
19169,19449,2266,4,13,17989,0.5645816889999999,1.0,0
19170,19450,2071,91,2,1494,0.7,1.0,1
19171,19452,2036,20,12,13295,0.445942083,1.0,0
19172,19453,2022,98,14,32768,1.225576172,1.0,0
19173,19454,2100,133,3,2074,0.912806172,1.0,0
19174,19455,2011,188,2,3041,0.391269319,1.0,0
19175,19456,1998,263,3,4643,0.782231316,0.0,0
19176,19457,1995,24,23,31174,0.737483801,0.0,0
19177,19458,2030,390,2,3163,0.782864369,0.0,1
19178,19459,1968,23,11,9655,0.728279648,1.0,0
19179,19460,1936,10,57,91658,1.332451177,1.0,0
19180,19461,1932,135,8,13050,0.7880781609999999,1.0,0
19181,19462,1931,8,42,54578,0.7010654479999999,1.0,0
19182,19463,1930,45,18,32842,0.701636928,1.0,0
19183,19464,1916,126,3,3949,0.5072018229999999,1.0,1
19184,19465,1910,205,3,5242,0.756095002,1.0,0
19185,19466,1904,598,2,4154,0.625,0.0,1
19186,19467,1903,99,16,25843,0.8039658709999999,1.0,1
19187,19468,1897,657,3,4368,0.7600961540000001,0.0,1
19188,19469,1993,257,6,33014,0.454455685,0.0,1
19189,19470,1879,468,2,5420,0.25,0.0,1
19190,19471,1879,34,16,15719,0.610147592,1.0,0
19191,19472,1870,69,12,13815,0.781466522,1.0,0
19192,19473,1862,27,31,40458,0.780205893,1.0,0
19193,19474,1861,69,12,18651,0.491928583,1.0,0
19194,19475,1894,14,77,86916,0.72837993,1.0,0
19195,19476,1850,251,10,13835,0.851778099,1.0,1
19196,19477,1877,26,12,22178,0.917419966,1.0,0
19197,19478,1842,85,9,10938,0.731293655,1.0,0
19198,19479,1833,47,16,14855,0.646257152,1.0,0
19199,19480,1828,135,3,5311,0.412598381,1.0,1
19200,19481,1949,380,6,8130,0.839329643,0.0,1
19201,19482,1812,172,4,3548,0.49,1.0,0
19202,19483,1804,79,2,2118,0.78888102,1.0,0
19203,19484,1800,45,12,16260,0.6651260760000001,1.0,0
19204,19485,1786,6,50,36822,0.80398213,1.0,0
19205,19486,1748,74,2,2887,0.464596467,1.0,1
19206,19487,1747,683,2,3966,0.75,0.0,1
19207,19488,1712,158,4,4462,0.985459435,0.0,0
19208,19489,1714,37,11,18453,0.56331816,1.0,0
19209,19490,1703,50,13,39727,0.439479196,0.0,0
19210,19491,1711,91,3,2283,0.6366666670000001,1.0,0
19211,19492,1694,28,11,15511,0.74860744,1.0,0
19212,19493,1690,369,7,11067,0.7672314090000001,0.0,1
19213,19494,1686,226,2,2481,0.8383313179999999,1.0,0
19214,19495,1687,16,3,2911,0.41842665799999995,1.0,0
19215,19496,1686,123,5,7076,0.811948841,1.0,1
19216,19497,1679,18,120,176951,0.701123814,1.0,0
19217,19498,1666,119,5,4161,0.748050949,1.0,0
19218,19499,1663,135,22,32516,0.68994618,1.0,0
19219,19500,1658,6,18,21179,0.814197554,1.0,0
19220,19501,1703,58,22,21358,0.750322596,1.0,0
19221,19502,1648,43,5,6875,0.562037818,1.0,0
19222,19503,1637,6,104,99462,0.757270716,1.0,0
19223,19504,1641,402,4,6452,0.821636702,0.0,1
19224,19505,1625,121,9,13664,0.592707114,0.0,0
19225,19506,1625,229,9,9251,0.726277159,1.0,1
19226,19507,1731,4,15,24921,0.710711047,1.0,0
19227,19508,1624,10,101,104916,0.821220119,1.0,0
19228,19509,1616,513,2,5420,0.25,0.0,1
19229,19510,1706,1,3,4937,0.8068017009999999,0.0,0
19230,19511,1608,398,4,15344,0.45,0.0,1
19231,19512,1672,33,24,26781,0.842012247,1.0,0
19232,19513,1604,30,16,8146,0.8006923640000001,1.0,0
19233,19514,1602,126,17,15936,0.837836345,1.0,1
19234,19515,1597,300,11,31537,1.26943812,0.0,1
19235,19516,1596,160,2,1312,0.65,1.0,1
19236,19517,1594,418,7,5042,0.815093217,0.0,1
19237,19518,1575,75,5,7869,0.6520371079999999,1.0,0
19238,19519,1596,147,4,7868,0.65,1.0,0
19239,19520,1572,628,2,2018,1.0,0.0,1
19240,19521,1561,104,4,8170,0.9508445529999999,0.0,0
19241,19522,1549,56,10,9156,0.508095238,0.0,0
19242,19523,1546,59,16,21208,0.715408336,1.0,0
19243,19524,1535,3,33,41404,0.8703318520000001,1.0,0
19244,19525,1522,82,40,104027,0.7356240209999999,1.0,0
19245,19526,1523,80,59,50030,0.968302618,1.0,1
19246,19527,1515,378,3,3476,0.684508055,0.0,1
19247,19528,1523,42,6,5459,0.86178421,1.0,0
19248,19529,1512,6,29,32001,0.6779697509999999,1.0,0
19249,19530,1509,21,65,100156,0.561892348,1.0,0
19250,19531,1506,3,15,24867,0.858861543,1.0,0
19251,19532,1504,4,16,24563,0.6674180679999999,1.0,0
19252,19533,1502,304,2,3086,0.643966299,1.0,1
19253,19534,1495,11,6,8677,0.723357151,1.0,0
19254,19535,1545,344,5,5069,0.900236733,1.0,1
19255,19536,1487,18,6,6924,0.6023440210000001,1.0,0
19256,19537,1482,137,24,36709,0.600014438,1.0,1
19257,19538,2388,7,51,87589,1.06409081,1.0,0
19258,19539,1480,194,5,5755,1.3555708080000002,1.0,1
19259,19540,1601,20,59,80922,0.8352330640000001,1.0,0
19260,19541,1490,233,7,7936,0.663336694,0.0,0
19261,19542,1467,51,5,7047,0.8796409820000001,0.0,0
19262,19543,1467,95,24,24980,0.8298851079999999,1.0,0
19263,19544,1460,260,9,9416,0.7045443929999999,1.0,1
19264,19545,1658,4,40,62046,0.661857493,1.0,0
19265,19546,1462,33,41,16834,0.798333135,1.0,0
19266,19547,1459,92,14,28394,0.693224625,1.0,0
19267,19548,1456,175,3,4166,0.56356217,1.0,1
19268,19549,1453,97,7,11022,0.6540274,1.0,1
19269,19550,1446,72,21,27014,0.5270296879999999,1.0,0
19270,19551,1437,102,2,2780,0.37,1.0,0
19271,19552,1436,70,11,15996,0.5667498120000001,1.0,0
19272,19553,1434,73,13,20756,0.614020042,1.0,0
19273,19554,1435,145,6,7948,0.7467237040000001,1.0,0
19274,19555,1435,45,4,5600,0.84,1.0,0
19275,19556,1438,42,9,11586,0.50782755,1.0,0
19276,19557,1407,123,16,13913,0.6759218000000001,1.0,0
19277,19558,1408,238,2,4176,0.385,1.0,1
19278,19559,1406,1,21,26133,0.736286687,1.0,0
19279,19560,1413,13,10,26508,0.622078618,1.0,0
19280,19561,1382,32,30,27151,0.808612206,1.0,0
19281,19562,1376,105,19,21718,0.729224146,0.0,0
19282,19563,1367,75,13,16862,0.672158107,1.0,0
19283,19564,1365,281,6,7746,0.46166666700000003,0.0,1
19284,19565,1481,29,11,15318,0.719350437,1.0,0
19285,19566,1363,44,37,76634,0.751621995,1.0,0
19286,19567,1362,158,32,35776,0.662967073,0.0,0
19287,19568,1360,13,18,16647,0.834158707,1.0,0
19288,19569,1359,450,2,3966,1.025,0.0,1
19289,19570,1367,43,11,27922,0.731686484,1.0,0
19290,19571,1341,269,3,2799,1.09,0.0,0
19291,19572,1341,62,6,6551,0.942385895,1.0,0
19292,19573,1342,2,16,12947,0.797112072,0.0,0
19293,19574,1346,618,2,2616,0.95,0.0,1
19294,19575,1339,11,15,20304,0.551444543,1.0,0
19295,19576,1321,88,7,8602,0.423374797,1.0,0
19296,19577,1315,228,5,8393,0.795939473,1.0,0
19297,19578,1423,642,2,3297,0.623324234,0.0,1
19298,19579,1314,468,4,4129,0.616396222,0.0,1
19299,19580,1313,6,35,59048,0.74887566,1.0,0
19300,19581,1312,3,38,35527,0.808434993,1.0,0
19301,19582,1313,31,40,63573,0.809896025,1.0,0
19302,19583,1330,232,4,5711,0.6452232529999999,1.0,1
19303,19584,1303,37,27,28064,0.7435974909999999,1.0,0
19304,19585,1305,337,4,6245,0.6792233790000001,0.0,1
19305,19586,1306,27,29,31705,0.48144204399999996,1.0,0
19306,19587,1299,318,5,5057,0.6801463320000001,1.0,1
19307,19588,1295,68,16,40658,0.806874662,0.0,0
19308,19590,1323,539,2,2572,0.575,0.0,1
19309,19591,1320,33,7,10401,0.606286895,1.0,0
19310,19592,1300,549,2,5273,0.598691447,0.0,1
19311,19593,1288,77,12,22267,1.308671128,1.0,0
19312,19594,1318,556,3,3644,0.303430296,0.0,1
19313,19595,1389,247,7,12430,0.8013435240000001,1.0,1
19314,19596,1287,6,18,20014,0.7961586890000001,1.0,0
19315,19597,1360,112,5,6772,0.863393385,1.0,0
19316,19598,1293,584,2,2404,0.8,0.0,1
19317,19599,1296,38,5,8367,0.673166009,1.0,0
19318,19600,1284,62,38,40200,0.911333582,1.0,0
19319,19601,1311,10,47,40531,0.691143816,1.0,0
19320,19602,1289,45,8,13182,0.43221134899999997,1.0,0
19321,19603,1283,74,10,12668,0.654021156,0.0,0
19322,19604,1280,68,4,6090,0.71427422,1.0,0
19323,19605,1273,67,16,21755,0.540755229,1.0,0
19324,19606,1270,39,9,6988,0.9303391529999999,0.0,0
19325,19607,1268,384,5,5892,0.57746945,0.0,1
19326,19608,1257,16,2,3280,0.405,1.0,1
19327,19609,1257,710,2,3560,0.925,0.0,1
19328,19610,1257,183,4,5199,0.451644547,0.0,0
19329,19611,1257,36,14,20218,0.771308735,1.0,0
19330,19612,1257,40,21,48396,1.049754525,1.0,0
19331,19613,1255,88,14,18582,0.618116995,1.0,0
19332,19615,1264,70,34,62200,0.8449199359999999,1.0,0
19333,19616,1255,163,2,2158,0.63,1.0,1
19334,19617,1257,25,13,17755,0.768941707,1.0,0
19335,19618,1240,39,20,31912,0.6974887190000001,0.0,0
19336,19619,1263,22,7,13302,0.504130958,1.0,0
19337,19620,1238,214,26,32779,0.753492175,0.0,1
19338,19621,1238,95,37,38513,0.833142575,0.0,0
19339,19622,1232,488,3,3350,0.7472537309999999,0.0,1
19340,19623,1255,10,23,22394,0.798682683,1.0,0
19341,19624,1236,220,7,10314,0.6120031029999999,0.0,0
19342,19625,1230,448,7,8029,0.646307137,0.0,1
19343,19626,1251,16,12,22041,0.664164058,1.0,0
19344,19627,1228,253,2,1957,0.659131323,1.0,1
19345,19628,1249,158,5,6657,0.705066847,1.0,1
19346,19629,1245,337,2,2030,0.925,1.0,1
