MEMBER_NO,FLIGHT_COUNT,BASE_POINTS_SUM,SEG_KM_SUM,AVG_FLIGHT_INTERVAL,FFP_days,EXPENSE_SUM_YR_1,EXPENSE_SUM_YR_2,EXPENSE_SUM,runoff_flag,K
14433,4,4105,5294,232,1022,0,2916,2916,0,1
14434,5,3258,5461,80.25,1023,2618,1040,3658,1,0
14435,4,45863,36880,27.66666667,1075,19560,0,19560,1,0
14436,34,27321,44469,20.36363636,1031,19849,12206,32055,0,0
14437,14,8075,18915,55.53846154,906,4129,5587,9716,0,1
14438,12,7891,15593,51,925,5650,2742,8392,1,0
14439,10,5032,14738,40,529,4158,3687,7845,0,1
14440,2,1263,2151,134,1085,0,1483,1483,0,1
14441,22,10594,19806,28,1072,9291,5660,14951,1,0
14442,12,43009,76027,52.36363636,1001,18788,8757,27545,0,0
14443,11,8270,21770,38.6,1015,1190,9800,10990,0,1
14444,2,7762,8210,0,841,4057,0,4057,1,0
14445,5,2856,3422,129.75,661,1948,1633,3581,0,0
14446,36,41825,58825,14.62857143,552,19058,20689,39747,0,1
14447,15,5330,10835,27.71428571,495,1040,6290,7330,0,1
14449,3,1002,2680,229.5,954,916,323,1239,0,0
14450,30,15235,26662,24.62068966,922,7746,14314,22060,0,1
14451,26,11186,18191,24.48,854,9727,6122,15849,0,0
14452,2,4616,4960,6,440,4360,0,4360,1,0
14453,12,11725,18814,45.45454545,893,10159,1975,12134,0,0
14454,4,2307,9140,64.33333333,893,3793,0,3793,1,0
14455,9,3288,5814,74.125,909,1181,3348,4529,0,1
14456,2,1951,2240,0,1004,0,6427,6427,1,1
14457,4,2203,3530,17,993,2735,0,2735,1,0
14458,2,16284,24464,304,949,3200,3400,6600,0,1
14459,4,957,2988,182.6666667,690,800,935,1735,0,1
14460,2,3906,4156,154,435,2310,1089,3399,1,1
14461,8,7345,18187,83.85714286,598,4007,5498,9505,0,1
14462,22,15554,28159,29.14285714,635,8454,4387,12841,0,0
14463,2,5868,6460,10,1052,0,14607,14607,0,1
14464,15,13649,17791,29.57142857,1039,12250,1837,14087,1,0
14465,14,7730,10446,53.84615385,726,3957,4551,8508,0,1
14466,4,31274,27214,4.666666667,625,13410,0,13410,1,0
14467,3,1113,2168,57,764,1856,0,1856,1,0
14468,35,18441,30061,20.05882353,765,10603,6643,17246,0,0
14469,7,6186,6856,109.6666667,777,2396,2232,4628,0,0
14470,6,1800,3478,128.4,774,2486,3000,5486,0,1
14471,55,39310,65570,13.03703704,780,22134,17740,39874,0,0
14472,14,2800,8120,10.53846154,1060,0,9000,9000,1,1
14473,2,1041,1912,179,981,0,1441,1441,0,1
14474,4,4526,6134,67,913,0,4475,4475,0,1
14475,3,4720,6231,17,938,0,3973,3973,1,1
14476,2,1000,1160,2,719,3240,0,3240,1,0
14477,5,2730,4645,2,714,5560,0,5560,1,0
14478,4,2592,3380,8,778,4530,0,4530,1,0
14479,2,1584,2286,61,712,3000,0,3000,1,0
14480,6,5120,7138,37.6,659,7760,0,7760,1,0
14481,4,1712,4780,17,933,2457,0,2457,1,0
14482,3,1588,2619,132,892,688,1161,1849,1,1
14483,5,3082,3454,2,713,2740,0,2740,1,0
14484,12,7211,11060,45,720,7615,1181,8796,0,0
14485,5,2738,5223,14,732,3368,0,3368,1,0
14486,29,54610,41192,25.46428571,981,14945,25243,40188,0,1
14487,5,14995,37920,88.25,1030,3100,10050,13150,1,1
14488,11,22418,23750,65,744,17419,9220,26639,0,0
14489,2,1630,4313,4,868,3090,0,3090,1,0
14490,24,26587,35051,18.82608696,470,2234,10628,12862,0,1
14491,6,4778,5865,68.2,530,4512,886,5398,0,0
14492,10,15819,16156,45.88888889,570,9463,3789,13252,1,0
14493,38,23161,31744,19.40540541,1111,15965,9999,25964,0,0
14494,26,11295,23153,23.68,1051,6653,8778,15431,0,1
14495,6,3492,8210,78.2,1045,882,3839,4721,0,1
14496,11,7004,15597,43.1,1048,7282,1818,9100,1,0
14497,12,4868,13879,58.36363636,1042,3888,2076,5964,0,0
14498,4,2444,6501,97,1022,3580,0,3580,1,0
14499,12,13745,21960,15.36363636,1020,12114,0,12114,1,0
14500,3,1270,5528,194.5,1027,875,595,1470,0,1
14501,2,1243,2210,35,1024,1315,0,1315,1,0
14502,2,531,1458,56,948,648,0,648,1,0
14503,4,4008,11319,52.66666667,947,4996,0,4996,1,0
14504,2,0,3464,223,946,425,0,425,1,0
14505,4,3853,5997,209.6666667,945,2363,1051,3414,0,1
14506,6,2709,8521,127.2,940,0,3302,3302,0,1
14507,23,19153,24299,26.68181818,943,15190,3353,18543,1,0
14508,6,3901,7597,68,788,3454,7356,10810,1,1
14509,6,3843,5292,78.6,1033,2703,1622,4325,1,0
14510,10,7545,12462,54.66666667,1033,4684,3771,8455,0,1
14511,11,3500,8909,33.8,794,8323,1500,9823,1,0
14512,19,6464,11622,29.61111111,786,17274,6384,23658,0,1
14513,4,1400,2320,178,786,2690,1400,4090,0,1
14514,30,10522,25846,20.31034483,612,7120,18841,25961,0,1
14515,7,3166,6503,93.5,581,4560,3350,7910,0,0
14516,2,1648,4644,4,584,2800,0,2800,1,0
14517,8,6067,7882,33.85714286,413,0,6261,6261,1,1
14518,3,3657,5119,298.5,933,1086,2025,3111,0,0
14519,4,1185,7470,74.33333333,922,1193,1220,2413,1,1
14520,5,1786,3330,103,1075,1314,766,2080,0,0
14521,35,22140,41713,16.82352941,1104,16451,10386,26837,1,0
14522,2,807,2560,26,763,690,0,690,1,0
14523,4,2205,3145,49.66666667,571,1325,0,1325,1,0
14524,26,24112,22158,26.72,1039,12596,11376,23972,0,1
14525,3,1830,1947,249,1030,560,1260,1820,0,1
14526,8,8008,10685,32.28571429,1066,0,7224,7224,0,1
14528,4,3737,6107,118,1055,1654,1400,3054,1,0
14529,5,5111,8917,53.25,977,0,5623,5623,0,1
14530,4,2248,2416,134.3333333,571,690,1905,2595,0,1
14531,9,11525,13039,85.625,994,0,2456,2456,0,1
14532,3,996,3379,168.5,1041,790,529,1319,1,0
14533,9,5989,11772,31.875,974,4800,1894,6694,1,0
14534,9,5933,11016,30.5,916,6221,0,6221,1,0
14535,4,4641,4574,58,1000,4798,0,4798,1,0
14536,27,17850,33662,26.96153846,1019,3848,8472,12320,0,1
14537,19,13309,18120,28.33333333,786,6801,7269,14070,0,1
14538,2,1908,3167,396,840,1360,437,1797,0,1
14539,70,64758,119084,9.782608696,1096,24538,45002,69540,0,1
14540,5,5474,6280,83.5,1088,900,4560,5460,0,1
14541,13,8762,26429,9.666666667,1017,12580,0,12580,1,0
14542,6,5070,10665,34.6,997,3346,1700,5046,1,0
14543,37,34730,50583,8.388888889,990,0,33926,33926,0,1
14544,6,2975,7734,60.8,989,1947,2399,4346,0,1
14545,47,35163,46183,15.45652174,1056,18543,17597,36140,0,1
14546,2,1087,2676,54,425,1260,325,1585,1,1
14547,3,3311,9425,145,1077,964,2346,3310,0,1
14548,3,3816,7242,32.5,882,4668,0,4668,1,0
14550,3,3001,4479,100.5,1035,810,0,810,1,0
14551,3,1650,977,91.5,1073,2374,0,2374,1,0
14552,3,728,3524,17,745,800,1420,2220,1,1
14553,2,828,1226,15,666,900,0,900,1,0
14554,84,46970,68048,8.746987952,877,16093,31641,47734,0,1
14555,9,8060,8951,86.875,1074,3641,1278,4919,0,0
14556,3,2416,2691,85.5,967,510,608,1118,1,0
14557,4,479,5364,171.6666667,1054,832,0,832,0,1
14558,24,20560,33902,18.7826087,991,17147,2100,19247,1,0
14559,6,6003,7113,47.4,1029,632,0,632,1,0
14560,7,2838,7801,94,999,1881,1026,2907,0,0
14561,4,1437,5232,197,1013,1536,435,1971,0,0
14562,19,8519,18387,35.33333333,818,4715,4932,9647,0,1
14563,10,7466,7982,35.11111111,822,552,6686,7238,0,1
14564,34,22317,29651,18.21212121,854,12407,11040,23447,0,0
14565,9,10468,16016,51.625,855,0,13369,13369,0,1
14566,9,5631,10286,89.5,802,2683,3806,6489,0,0
14567,7,9104,12369,42.5,1039,6657,0,6657,1,0
14568,3,461,4578,73.5,1041,0,1848,1848,0,1
14569,8,9049,13565,28.28571429,1056,0,7171,7171,0,1
14570,5,73279,61160,138,1025,12600,20700,33300,0,1
14571,3,3353,3563,72,770,3360,0,3360,1,0
14572,2,1881,3560,6,789,2320,0,2320,1,0
14573,13,8548,20680,60.33333333,1010,7908,2890,10798,0,0
14574,83,85150,114627,6.951219512,1003,71675,4471,76146,1,0
14575,5,3501,11584,52.75,1007,1035,4831,5866,1,1
14576,40,46159,68953,18.12820513,1040,18948,24605,43553,0,1
14577,4,2584,2760,79.66666667,1043,2691,0,2691,1,0
14578,17,11069,12867,41.6875,1048,7399,5370,12769,0,0
14579,17,14253,18747,40.6875,1103,8795,4883,13678,0,0
14580,4,3061,4720,126.3333333,1044,2702,522,3224,1,0
14581,7,6452,15293,31.5,1053,8286,0,8286,1,0
14582,3,3336,3541,14.5,1054,2999,0,2999,1,0
14583,7,8807,9457,101,1057,3400,4469,7869,0,1
14584,5,11427,31470,99.75,1042,4995,3483,8478,0,0
14585,15,16038,29363,38.07142857,984,10578,3266,13844,0,0
14586,41,23315,39634,15.45,1008,13443,13197,26640,1,1
14587,10,18683,20018,70,1058,7230,11885,19115,0,1
14588,14,19341,19025,33.76923077,1059,4300,12790,17090,0,1
14589,7,9484,13696,96,1011,6858,2381,9239,0,0
14590,2,1358,1489,635,824,1100,660,1760,0,1
14591,44,34247,59495,16.6744186,2711,13266,23580,36846,0,1
14592,7,5885,6507,26.33333333,959,3490,0,3490,1,0
14593,10,3460,14150,69.22222222,949,2454,4512,6966,0,1
14594,4,11486,17979,5,571,7280,0,7280,1,0
14595,2,5998,15199,8,995,4700,0,4700,1,0
14596,15,17343,20812,50,776,3820,12504,16324,0,1
14597,7,2830,6013,70.16666667,750,2772,1050,3822,1,0
14598,16,9561,15355,30.53333333,722,7880,1651,9531,1,0
14599,8,3946,7345,67.71428571,975,3784,1838,5622,0,0
14600,2,7204,7887,7,959,0,4575,4575,1,1
14601,4,2366,2771,30,963,1988,0,1988,1,0
14602,2,700,1158,365,973,497,639,1136,0,1
14603,11,11172,23474,50.4,989,8072,4300,12372,1,0
14604,27,14191,25436,25.19230769,946,12215,6196,18411,0,0
14605,12,10361,16844,62.54545455,899,4910,7187,12097,0,1
14606,7,2213,8364,89.16666667,1047,1391,2143,3534,0,1
14607,2,2658,7672,9,1074,2272,0,2272,1,0
14608,29,42208,34744,19.25,1077,33755,6624,40379,1,0
14610,2,922,3052,29,854,1656,0,1656,1,0
14611,12,14391,23831,49.18181818,880,3872,9114,12986,0,1
14612,2,400,1074,3,679,632,0,632,1,0
14613,8,6960,10602,98,893,1664,3054,4718,0,1
14614,4,3529,7844,58,884,5588,0,5588,1,0
14615,16,11175,25162,45.86666667,906,5158,3802,8960,0,0
14616,3,2614,6949,89.5,894,3577,662,4239,1,0
14617,3,872,3736,69.5,895,1488,0,1488,1,0
14618,2,0,3390,287,883,408,554,962,0,1
14619,2,331,3279,25,900,1089,0,1089,1,0
14620,3,6103,8130,18,713,0,5614,5614,1,1
14621,4,7768,5370,99,905,5100,2185,7285,0,1
14622,3,2063,2604,206.5,674,1210,1115,2325,0,1
14623,3,2267,2590,280.5,588,890,510,1400,0,1
14624,6,4048,5515,95.6,623,2890,1035,3925,0,1
14625,2,1177,2238,252,627,1757,0,1757,1,0
14626,10,5590,10215,64.77777778,663,5738,1026,6764,0,0
14627,3,2484,2799,181,781,1728,883,2611,0,0
14628,8,7664,17714,36,969,9355,0,9355,1,0
14629,20,17214,24424,32.42105263,869,969,4825,5794,0,1
14630,17,15003,21950,41.4375,951,2880,11253,14133,0,1
14631,15,53712,69081,40.07142857,987,8249,23593,31842,0,1
14632,2,1135,2888,13,980,1145,0,1145,1,0
14633,6,2219,5387,85.4,1035,2807,706,3513,0,0
14634,11,7580,14143,25.6,983,8777,0,8777,1,0
14635,4,1719,4763,136.6666667,945,1764,542,2306,0,0
14636,29,29702,54755,17.64285714,933,4758,29841,34599,0,1
14637,2,1404,1598,2,923,1554,0,1554,1,0
14638,34,27745,44297,21.15151515,745,9278,15540,24818,0,1
14639,8,7017,20852,17,933,8184,0,8184,1,0
14640,3,2671,5324,24.5,961,0,2788,2788,1,1
14641,16,10405,15173,44.46666667,856,5752,4253,10005,0,0
14642,10,6280,17764,68.22222222,897,7500,3850,11350,0,0
14643,36,26446,44812,19.8,977,9515,21000,30515,0,1
14644,2,1526,3934,5,712,1955,0,1955,1,0
14645,44,44185,55567,15.37209302,758,22071,19397,41468,0,0
14646,4,1842,3496,150.3333333,757,690,1633,2323,0,1
14647,10,8772,16459,62,764,3260,7603,10863,0,1
14648,30,19920,27159,25.06896552,762,9046,12269,21315,0,1
14649,15,25754,19985,43.42857143,760,6205,17737,23942,0,1
14650,3,4722,4772,16,962,4484,0,4484,1,0
14651,24,13059,32003,30.08695652,960,10368,7157,17525,0,0
14652,4,3236,5680,85,721,3551,0,3551,1,0
14653,19,18409,15072,23.44444444,449,5100,13977,19077,0,1
14654,11,6536,8714,35.5,916,1333,5912,7245,0,1
14655,2,1238,2416,154,772,1465,0,1465,1,0
14656,10,8260,12795,25.33333333,773,8773,0,8773,1,0
14657,3,1656,2799,135.5,780,1728,326,2054,1,0
14658,4,1975,7802,36.66666667,624,858,2457,3315,1,1
14659,40,35574,42365,18.43589744,897,25235,8485,33720,0,0
14660,3,5089,7737,4,935,3875,0,3875,1,0
14661,11,12808,21618,61.1,989,9170,4689,13859,0,0
14662,4,2042,6684,88.66666667,982,3393,0,3393,1,0
14663,2,532,1312,9,985,803,0,803,1,0
14664,2,649,2270,2,967,0,1067,1067,1,1
14665,6,64606,53572,87.2,821,17190,12600,29790,0,0
14666,9,55828,110088,72.625,794,11350,15850,27200,0,1
14667,31,25466,29994,23.8,886,16497,7423,23920,0,0
14668,5,3562,8765,175.5,743,1008,4116,5124,0,1
14669,2,1211,3750,14,736,2076,0,2076,1,0
14670,9,6243,7045,77.875,918,4316,2962,7278,0,0
14671,26,23860,28952,26,917,12981,11541,24522,0,0
14672,19,17707,25002,36.72222222,953,0,6342,6342,0,0
14673,7,4125,10492,110.8333333,1043,5350,557,5907,0,0
14674,18,17060,32948,34.52941176,968,14407,4159,18566,0,0
14675,79,94225,151183,8.243589744,955,15407,53317,68724,0,1
14676,10,12560,15962,71.88888889,956,6620,4722,11342,0,1
14677,2,2285,2428,85,957,1996,0,1996,1,0
14678,54,77331,64470,13.24528302,917,48868,51961,100829,0,1
14679,3,3201,5459,77,964,2415,0,2415,1,0
14680,8,5963,7281,77,930,3929,2115,6044,0,0
14681,6,2602,6164,105.2,918,994,2560,3554,0,1
14683,13,20899,22546,44.83333333,1040,2457,8564,11021,0,1
14684,3,812,3517,162,949,780,620,1400,1,0
14685,10,8654,14646,69.11111111,949,5159,2653,7812,0,0
14686,8,5458,10341,52.14285714,946,1664,3138,4802,0,0
14687,10,8436,9700,44.22222222,944,7335,1003,8338,1,0
14688,2,1461,1577,32,843,1330,0,1330,1,0
14689,18,11307,18907,38.23529412,856,6802,6635,13437,0,1
14690,12,10532,13966,49.18181818,861,3395,4033,7428,1,0
14691,22,32950,54169,34.33333333,885,12684,12307,24991,0,0
14692,7,6725,9004,43.83333333,887,5346,0,5346,1,0
14693,81,27740,43196,8.75,803,14887,26154,41041,0,1
14694,4,3188,8872,61.66666667,676,4260,0,4260,1,0
14695,31,28363,44228,18.83333333,574,7706,15123,22829,0,1
14696,14,7235,20336,21,929,10019,590,10609,1,0
14697,2,1998,2831,3,958,2215,0,2215,1,0
14698,2,927,5342,5,799,1938,0,1938,1,0
14699,3,1549,3242,4.5,796,0,1761,1761,1,1
14700,3,4092,4681,48.5,957,3285,0,3285,1,0
14701,11,10414,15732,65.2,817,4674,5388,10062,0,1
14702,11,9460,17007,64,762,2023,6825,8848,0,1
14703,9,4736,8706,76,760,2368,3177,5545,0,1
14704,7,3818,7051,70.5,910,2652,2256,4908,1,0
14705,29,20975,27270,25.42857143,922,11717,9430,21147,0,0
14706,12,9764,16685,57.72727273,960,5794,5535,11329,0,1
14707,3,20936,36696,116.5,693,0,9000,9000,0,1
14708,12,11793,26902,55.90909091,919,8246,5053,13299,0,0
14709,2,1192,3759,5,375,0,1850,1850,1,1
14710,4,3101,8948,111,882,1220,2360,3580,1,1
14711,5,2884,6216,14.25,916,0,3249,3249,1,1
14712,8,4000,2912,89.71428571,748,0,1537,1537,0,1
14713,5,5085,5435,91,908,0,2318,2318,1,1
14714,17,4515,12670,29.0625,913,1205,6190,7395,0,1
14715,5,1834,4478,64,826,1312,0,1312,1,1
14716,34,22643,33320,19.84848485,829,12364,11371,23735,0,1
14717,40,36938,42143,18.25641026,834,16338,20754,37092,0,1
14718,11,11570,15241,34.3,853,11330,1900,13230,1,0
14719,8,5234,12157,48,882,6282,0,6282,1,0
14720,7,5450,13532,14.33333333,684,5785,0,5785,1,0
14721,17,17263,24032,35.5,713,6896,10483,17379,0,1
14722,4,9856,11368,69.33333333,711,8797,0,8797,1,0
14723,27,19145,37398,26.34615385,714,11977,11958,23935,0,1
14724,3,4346,10345,282,684,3800,1087,4887,0,0
14725,6,2050,3474,42.8,705,3125,0,3125,1,0
14726,5,9642,10244,99,691,7209,778,7987,0,0
14727,15,11469,21769,45.5,713,6717,4071,10788,0,0
14728,3,896,2451,9.5,609,1311,0,1311,1,0
14729,14,10555,14056,37.15384615,484,3334,8058,11392,0,1
14730,32,30495,42182,20.38709677,634,1264,10842,12106,0,1
14731,9,4620,6059,76.875,619,3577,1967,5544,0,0
14732,18,19273,27861,37.58823529,655,1893,13985,15878,0,1
14733,4,2688,2987,162.6666667,642,1230,1498,2728,0,1
14734,5,2846,5050,122.75,642,0,704,704,0,0
14735,6,7012,7767,119.8,644,2101,288,2389,0,0
14736,18,20849,25889,40.76470588,839,11011,7605,18616,0,0
14737,9,28569,22177,66.125,837,2610,15592,18202,0,0
14738,47,24801,33726,15.80434783,848,12396,14959,27355,0,1
14739,49,45375,78672,14.04166667,832,1088,25602,26690,0,1
14740,4,6327,7764,54.66666667,505,3294,2635,5929,1,1
14741,12,10392,10824,59.81818182,714,5220,4896,10116,0,1
14742,16,10331,16900,31,718,7899,5399,13298,1,0
14743,3,1500,1362,149.5,936,730,1300,2030,0,1
14744,7,2590,7896,37.16666667,720,2823,0,2823,1,0
14745,3,4807,6294,6,726,5044,0,5044,1,0
14746,10,9579,15273,48.66666667,722,9534,403,9937,1,0
14747,4,3818,6360,45.66666667,722,4309,0,4309,1,0
14748,3,2613,5067,32,567,3074,0,3074,1,0
14749,12,9079,15491,23.72727273,939,0,9570,9570,0,1
14750,5,11301,19180,90.5,951,3976,5879,9855,0,1
14751,7,6210,9005,83,743,4391,0,4391,0,0
14752,2,2561,2702,53,729,3250,0,3250,1,0
14753,8,2935,9007,62.42857143,812,3084,1075,4159,1,0
14754,6,5045,8181,95.2,975,4468,1619,6087,0,0
14755,23,14069,17425,22.04545455,667,15164,2148,17312,1,0
14756,4,2010,3483,4.333333333,978,2074,0,2074,1,0
14757,12,8142,13767,45,937,923,608,1531,1,1
14758,15,6430,14379,41.35714286,925,4040,3801,7841,1,0
14759,3,2952,3138,179,963,990,1613,2603,0,1
14760,4,1718,4906,24.66666667,920,2484,0,2484,1,0
14761,5,5074,9302,160.75,941,1280,3815,5095,0,1
14762,10,19910,50829,33,931,6868,8968,15836,1,1
14763,6,7133,9933,106.4,970,7180,459,7639,0,0
14764,10,13950,17034,62.11111111,970,1152,10727,11879,0,1
14765,2,2223,2378,2,965,2280,0,2280,1,0
14766,9,11213,18920,76.625,971,4967,5958,10925,0,1
14767,16,7026,20126,33.86666667,971,6863,2052,8915,0,0
14768,26,23727,39326,24.2,705,9994,12149,22143,0,1
14769,5,4203,10078,11.25,717,4704,0,4704,1,0
14770,4,2289,8642,179.6666667,725,3088,646,3734,0,0
14771,6,3350,7871,26,720,0,4798,4798,0,1
14772,2,1010,1527,6,519,1092,0,1092,1,0
14773,2,2172,3464,379,596,1098,1343,2441,0,1
14774,50,32691,48431,13.32653061,881,22690,19166,41856,0,0
14775,11,8679,11793,63.3,679,6415,1680,8095,0,0
14776,7,5529,11853,85.16666667,907,0,1232,1232,0,1
14777,9,4102,5560,33,1000,5005,0,5005,1,0
14778,3,3001,5164,90,967,0,2861,2861,0,1
14779,8,10290,11825,85.71428571,969,2090,7168,9258,0,1
14780,8,6006,16408,52,937,6737,0,6737,1,0
14781,5,6560,9237,20,933,4933,0,4933,1,0
14782,19,11794,15512,36.72222222,929,9112,3294,12406,0,0
14783,3,2870,4675,227.5,892,516,1575,2091,0,0
14784,18,16806,30461,27.41176471,902,9846,7003,16849,1,0
14785,15,12724,22912,51,887,876,3244,4120,0,0
14786,16,13728,16607,40.8,895,6752,4252,11004,0,0
14787,2,2450,2579,138,994,1953,0,1953,1,0
14788,18,15176,28784,33.94117647,981,11227,7839,19066,1,0
14789,9,9791,11058,65.75,983,4615,7396,12011,0,0
14790,3,700,938,79.5,1084,0,542,542,0,1
14791,22,18564,39525,32.85714286,782,6929,12191,19120,0,1
14792,8,4618,10390,72.85714286,788,1253,1193,2446,0,1
14793,3,1004,4370,58,956,0,476,476,0,1
14794,44,26774,56139,11.1627907,579,10990,22322,33312,0,1
14795,10,7998,10818,75.33333333,917,2690,4977,7667,0,1
14796,2,2166,6052,12,931,0,2875,2875,1,1
14797,3,1643,4812,203.5,830,1028,654,1682,0,0
14798,2,1881,3560,6,730,1885,0,1885,1,0
14799,12,8899,16051,49.45454545,741,9479,635,10114,0,0
14800,7,4800,7123,61.66666667,858,4520,235,4755,1,0
14801,29,18550,20786,21.28571429,863,10444,8895,19339,1,1
14802,9,8577,15750,39,863,9794,0,9794,1,0
14803,2,1980,4215,38,883,1870,0,1870,1,0
14804,4,2415,3205,13,812,2690,0,2690,1,0
14805,11,7125,12259,55.3,691,5312,2683,7995,0,0
14806,12,3632,16191,37.81818182,771,1968,4822,6790,0,1
14807,2,3504,3786,188,755,760,2006,2766,1,1
14808,4,4478,9544,164,759,3090,0,3090,0,0
14809,2,1270,3453,439,717,700,686,1386,0,1
14810,3,1494,3999,53,722,2639,0,2639,1,0
14811,45,40647,61101,15.52272727,723,9397,26528,35925,0,1
14812,33,29570,64570,20.84375,736,16983,16624,33607,0,1
14813,10,7436,10092,32.11111111,939,2160,6088,8248,0,1
14814,40,29451,52765,18.56410256,933,5581,27041,32622,0,1
14815,7,6318,10556,21.16666667,925,7185,0,7185,1,0
14816,3,436,3567,237,870,581,583,1164,0,0
14817,5,2926,4550,44.5,865,3290,0,3290,1,0
14818,5,1468,5315,120.25,935,632,777,1409,0,0
14819,3,3993,9297,209.5,934,1704,1392,3096,1,0
14820,8,4520,11204,94.42857143,929,4040,1459,5499,0,0
14821,2,1876,3016,191,902,0,720,720,1,1
14822,6,4375,8757,87.4,918,4516,626,5142,1,0
14823,2,1346,3772,6,835,1603,0,1603,1,0
14824,17,15840,30070,29.9375,846,10927,7429,18356,0,0
14825,80,120818,92022,8.835443038,923,61032,61240,122272,0,1
14826,43,31883,50200,16.88095238,844,12508,22986,35494,0,1
14827,5,3033,7359,126,741,2030,1650,3680,1,0
14828,3,45363,36696,219,788,12600,6300,18900,0,0
14829,10,6238,15459,60,817,2966,5459,8425,0,1
14830,3,2488,3064,60.5,438,0,420,420,1,1
14831,5,3318,8648,54,427,0,3420,3420,0,1
14832,39,31369,56304,18.47368421,705,16108,18491,34599,0,1
14833,10,20030,20980,40.44444444,708,16199,1649,17848,1,0
14834,13,8398,8970,57.41666667,709,8073,573,8646,0,0
14835,5,3722,4973,129.5,709,1920,1843,3763,0,0
14836,2,2227,2365,78,573,0,864,864,1,1
14837,9,7430,13298,51.375,576,3825,4816,8641,0,1
14838,8,4854,7748,79.85714286,576,2214,3273,5487,0,1
14839,8,14491,23901,66.14285714,575,5232,6869,12101,0,1
14840,4,4658,9244,18.66666667,575,4973,0,4973,1,0
14841,13,10066,14311,45.5,572,1907,6479,8386,0,1
14842,16,2600,8122,46.66666667,928,2123,5520,7643,0,1
14843,11,7763,9822,66,807,3640,4977,8617,0,1
14844,14,15334,18312,19.84615385,816,14656,0,14656,1,0
14845,4,8710,11572,68.33333333,786,2852,5620,8472,1,1
14846,20,9141,12889,29,836,6124,5023,11147,0,0
14847,14,17281,24719,35.76923077,811,17885,1125,19010,1,0
14848,19,13840,20754,32.88888889,764,6548,8091,14639,1,1
14849,2,13287,20272,357,758,3100,4600,7700,0,1
14850,3,2818,3771,52,848,2765,0,2765,1,0
14851,8,7738,14418,76.28571429,852,5619,3196,8815,0,0
14852,15,8260,7320,21,836,11811,0,11811,1,0
14853,49,44218,67438,15.08333333,802,14200,32105,46305,0,1
14854,13,36966,67921,34.75,836,13920,6965,20885,1,0
14855,55,68049,76308,12.55555556,723,20919,37041,57960,0,1
14856,5,3172,8123,63.25,644,0,4079,4079,0,1
14857,14,15794,29063,41.61538462,597,6561,11255,17816,0,1
14858,2,1374,2060,344,666,590,909,1499,0,1
14859,18,11683,19849,37,683,10058,4523,14581,0,0
14860,6,5344,10290,50.8,611,0,5704,5704,0,1
14861,2,933,1312,1,618,1095,0,1095,1,0
14862,2,1159,1298,54,567,1540,0,1540,1,0
14863,3,2457,2647,202,567,1202,1150,2352,0,0
14864,34,25918,33880,16.6969697,572,8244,17552,25796,0,1
14865,9,4046,10664,53.75,573,3148,2384,5532,0,0
14866,4,4760,3224,212,671,1620,1523,3143,0,0
14867,36,38315,64375,20.42857143,932,23003,15000,38003,0,0
14868,2,2555,2768,1,591,2292,0,2292,1,0
14869,26,23064,30662,28.36,910,9030,8743,17773,0,0
14870,100,81595,116315,7.232323232,926,4050,17317,21367,0,1
14871,3,2223,4137,118.5,914,0,2016,2016,0,1
14872,37,25028,49092,19.86111111,923,10330,15702,26032,0,1
14873,17,5314,14518,34.875,925,1441,2210,3651,0,1
14874,12,5121,15218,41,898,1412,2936,4348,1,0
14875,11,9180,17763,37,903,7420,2480,9900,1,0
14876,16,15407,26029,31,823,2760,0,2760,1,0
14877,56,28801,74649,11.01818182,672,10991,29987,40978,0,1
14878,3,2179,4126,199,510,0,1624,1624,0,1
14879,2,1681,1938,163,690,800,0,800,1,0
14880,17,10952,23085,39.5,691,8190,5671,13861,0,0
14881,7,3709,11521,75,672,3482,1656,5138,1,0
14882,8,6343,12155,95.42857143,720,5996,1100,7096,0,0
14883,6,2986,5889,66.6,721,3684,0,3684,1,0
14884,21,15915,19575,21.7,721,11146,4917,16063,1,0
14885,4,7812,8312,92.33333333,715,7040,0,7040,1,0
14886,65,42774,47293,11.25,895,20218,21477,41695,0,1
14887,14,16898,17030,53.38461538,896,9051,6639,15690,0,1
14888,28,21211,24609,25.59259259,849,16885,4007,20892,0,0
14889,2,2804,4196,342,848,1358,1591,2949,0,1
14890,6,9650,10996,102.6,847,2900,4135,7035,0,1
14891,33,44672,65742,22.15625,888,21408,22315,43723,0,1
14892,2,1021,2657,226,766,1145,0,1145,1,0
14893,17,12725,22777,44.8125,725,9185,5993,15178,0,0
14894,3,1712,2691,5.5,728,1995,0,1995,1,0
14895,5,4805,12944,131,733,3755,2700,6455,0,0
14896,7,9790,13397,57.66666667,746,0,8676,8676,0,1
14897,5,2698,4393,37.25,747,1906,0,1906,1,0
14898,42,37067,51584,16.7804878,747,17042,9119,26161,0,0
14899,2,2726,2892,2,747,2299,0,2299,1,0
14900,18,22308,24478,33.94117647,739,5250,12935,18185,0,1
14901,18,10781,19455,37.35294118,968,9564,2695,12259,0,0
14902,11,15775,22993,46.9,912,11487,7520,19007,1,0
14903,12,14559,22826,49.72727273,923,13480,925,14405,1,0
14904,2,1124,1208,1,924,0,1228,1228,1,1
14905,11,6817,13047,52.3,930,4685,3540,8225,0,0
